STATUS: partial

## Inventory 1: Conditional Test Gates

| file:line | construct | gate expression (max 80 chars) |
|---|---|---|
| tests/build/linux-runtime-deps.test.ts:107 | it.runIf | !isEnabled |
| tests/build/linux-runtime-deps.test.ts:95 | it.runIf | isEnabled |
| tests/build/linux-runtime-deps.test.ts:99 | it.runIf | isEnabled |
| tests/build/version-baked.test.ts:21 | describe.skipIf | !existsSync(bundlePath |
| tests/cli/doctor-path-safety.test.ts:371 | it.runIf | process.platform === "win32" |
| tests/cli/doctor-path-safety.test.ts:628 | it.runIf | process.platform !== "win32" |
| tests/cli/doctor-path-safety.test.ts:809 | it.runIf | process.platform !== "win32" |
| tests/cli/setup.test.ts:694 | it.skipIf | process.platform !== "win32" |
| tests/cli/setup.test.ts:720 | describe.skipIf | process.platform !== "win32" |
| tests/e2e/agent-identity.spec.ts:44 | test.skip | !BYO_MODELS_ENABLED, "Agent-identity UI gated off until BYO_MODELS_ENABLED (#112 |
| tests/e2e/keyboard-a11y.spec.ts:271 | test.skip | true, "tabbed rail layout is not active; there is no switcher to assert on" |
| tests/e2e/settings-modal.spec.ts:153 | test.skip | // Ctrl held does not). Left as `test.skip` rather than deleted so the history |
| tests/e2e/settings-modal.spec.ts:155 | test.skip | "Ctrl+, opens the SettingsModal (manual path |
| tests/e2e/settings-models.spec.ts:100 | test.skip | !BYO_MODELS_ENABLED, "Models UI gated off until BYO_MODELS_ENABLED (#1018/#1022 |
| tests/scripts/acceptance-harness-wiring.test.ts:378 | test.skip | "disabled" |
| tests/scripts/acceptance-harness-wiring.test.ts:391 | test.skip | "disabled" |
| tests/scripts/acceptance-harness-wiring.test.ts:464 | test.skip | "one" |
| tests/scripts/acceptance-harness-wiring.test.ts:468 | test.skip | "two" |
| tests/scripts/acceptance-harness-wiring.test.ts:472 | test.skip | "three" |
| tests/scripts/windows-acl-proof-wiring.test.ts:290 | it.skipIf | // A `it.skipIf` sneaked onto one case inside the Windows describe would |
| tests/server/annotations/doc-hash.test.ts:28 | it.runIf | IS_WINDOWS |
| tests/server/annotations/doc-hash.test.ts:39 | it.skipIf | IS_WINDOWS |
| tests/server/annotations/doc-hash.test.ts:46 | it.runIf | IS_WINDOWS |
| tests/server/annotations/doc-hash.test.ts:59 | it.runIf | IS_WINDOWS |
| tests/server/document-service.test.ts:826 | it.skipIf | process.platform === "win32" |
| tests/server/document-service.test.ts:898 | it.skipIf | process.platform === "win32" |
| tests/server/docx-apply.test.ts:1230 | it.runIf | process.platform !== "win32" |
| tests/server/export-path-canonicalization.test.ts:184 | it.runIf | POSIX |
| tests/server/export-path-canonicalization.test.ts:204 | it.runIf | POSIX |
| tests/server/export-path-canonicalization.test.ts:257 | it.runIf | POSIX |
| tests/server/file-io/doc-backup-acl-repair.test.ts:46 | describe.skipIf | !WIN_ONLY |
| tests/server/integrations/acl-win.test.ts:156 | describe.skipIf | WIN_ONLY |
| tests/server/integrations/acl-win.test.ts:23 | describe.skipIf | !WIN_ONLY |
| tests/server/integrations/apply-malformed.test.ts:188 | it.skipIf | !POSIX_ONLY |
